Postal Code,Sales,Cluster_KMeans,Cluster_GMM
42420.0,261.96,2,3
42420.0,731.94,2,3
90036.0,14.62,1,1
33311.0,957.5775,2,3
33311.0,22.368,2,1
90032.0,48.86,1,0
90032.0,7.28,1,1
90032.0,907.152,1,3
90032.0,18.504,1,1
90032.0,114.9,1,0
90032.0,1706.184,3,2
90032.0,911.424,1,3
28027.0,15.552,0,1
98103.0,407.976,1,3
76106.0,68.81,1,0
76106.0,2.544,1,1
53711.0,665.88,2,3
84084.0,55.5,1,0
94109.0,8.56,1,1
94109.0,213.48,1,0
94109.0,22.72,1,1
68025.0,19.46,1,1
68025.0,60.34,1,3
19140.0,71.372,0,4
84057.0,1044.63,1,3
90049.0,11.648,1,1
90049.0,90.57,1,0
19140.0,3083.43,3,2
19140.0,9.618,0,1
19140.0,124.2,0,4
19140.0,3.264,0,1
19140.0,86.304,0,4
19140.0,6.858,0,1
19140.0,15.76,0,1
77095.0,29.472,1,1
75080.0,1097.544,1,3
75080.0,190.92,1,3
77041.0,113.328,1,0
77041.0,532.3992,1,3
77041.0,212.058,1,3
77041.0,371.168,1,3
60540.0,147.168,2,3
90049.0,77.88,1,0
32935.0,95.616,2,4
55122.0,45.98,2,4
55122.0,17.46,2,1
48185.0,211.96,2,3
19901.0,45.0,0,4
19901.0,21.8,0,1
47150.0,38.22,2,1
47150.0,75.18,2,4
47150.0,6.16,2,1
47150.0,89.99,2,4
10024.0,15.26,0,1
10024.0,1029.95,0,3
12180.0,208.56,0,3
12180.0,32.4,0,1
12180.0,319.41,0,3
12180.0,14.56,0,1
12180.0,30.0,0,1
12180.0,48.48,0,4
12180.0,1.68,0,1
90004.0,13.98,1,1
90004.0,25.824,1,1
90004.0,146.73,1,0
90004.0,79.76,1,0
60610.0,213.115,2,3
85234.0,1113.024,1,3
85234.0,167.968,1,0
22153.0,75.88,0,4
10009.0,4.616,0,1
49201.0,19.05,2,1
38109.0,831.936,2,3
38109.0,97.04,2,4
38109.0,72.784,2,4
77041.0,1.248,1,1
77041.0,9.708,1,1
77041.0,27.24,1,1
77070.0,19.3,1,1
35601.0,208.16,2,3
35601.0,16.74,2,1
94122.0,14.9,1,1
94122.0,21.39,1,1
27707.0,200.984,0,3
60623.0,230.376,2,3
29203.0,301.96,0,3
55901.0,19.99,2,1
55901.0,6.16,2,1
77095.0,158.368,1,0
90036.0,20.1,1,1
90036.0,73.584,1,0
90036.0,6.48,1,1
55407.0,12.96,2,1
55407.0,53.34,2,4
55407.0,32.96,2,1
97206.0,5.682,1,1
10009.0,96.53,0,4
94122.0,51.312,1,0
55106.0,77.88,2,4
60610.0,64.624,2,4
60610.0,95.976,2,4
60610.0,1.788,2,1
55901.0,23.92,2,1
80013.0,238.896,1,3
80013.0,102.36,1,0
80013.0,36.882,1,0
28205.0,74.112,0,4
28205.0,27.992,0,1
28205.0,3.304,0,1
60462.0,339.96,2,3
10035.0,41.96,0,4
50322.0,75.96,2,4
50322.0,27.24,2,1
43229.0,40.096,2,4
43229.0,4.72,2,1
43229.0,23.976,2,1
43229.0,130.464,2,4
98103.0,787.53,1,3
37620.0,157.794,2,4
19805.0,47.04,0,4
19805.0,30.84,0,1
19805.0,226.56,0,3
19805.0,115.02,0,4
19805.0,68.04,0,4
77041.0,600.558,1,3
61701.0,617.7,2,3
85023.0,2.388,1,1
85023.0,243.992,1,0
90004.0,81.424,1,0
90004.0,238.56,1,0
43229.0,59.97,2,4
43229.0,78.304,2,4
43229.0,21.456,2,1
95661.0,20.04,1,1
95661.0,35.44,1,0
95661.0,11.52,1,1
95661.0,4.02,1,1
95661.0,76.176,1,0
95661.0,65.88,1,0
95661.0,43.12,1,0
19140.0,82.8,0,4
94122.0,8.82,1,1
94122.0,10.86,1,1
94122.0,143.7,1,0
64055.0,839.43,2,3
91104.0,671.93,1,3
43055.0,93.888,2,4
53132.0,384.45,2,3
53132.0,149.97,2,4
53132.0,1951.84,3,2
53132.0,171.55,2,3
85254.0,157.92,1,0
85254.0,203.184,1,0
95123.0,58.38,1,0
95123.0,105.52,1,0
95123.0,80.88,1,0
98105.0,6.63,1,1
98115.0,457.568,1,3
73034.0,14.62,1,1
73034.0,944.93,1,3
90045.0,5.98,1,1
19134.0,54.384,0,4
88220.0,28.4,1,0
98115.0,27.68,1,1
78207.0,9.936,1,1
78207.0,8159.952,4,2
78207.0,275.928,1,3
78207.0,1740.06,3,2
78207.0,32.064,1,1
78207.0,177.98,1,0
78207.0,143.976,1,0
90004.0,20.94,1,1
90004.0,110.96,1,0
90004.0,340.144,1,3
60623.0,52.448,2,4
60623.0,20.16,2,1
77036.0,97.264,1,0
43055.0,396.802,2,3
43055.0,15.88,2,1
10009.0,3.28,0,1
62521.0,24.816,2,1
62521.0,408.744,2,3
71203.0,503.96,1,3
71203.0,149.95,1,3
71203.0,29.0,1,1
6824.0,7.16,0,1
90032.0,176.8,1,0
75051.0,37.224,1,1
75051.0,20.016,1,1
10035.0,899.136,0,3
10035.0,71.76,0,4
10035.0,51.84,0,4
10035.0,626.352,0,3
10035.0,19.9,0,1
92374.0,14.28,1,1
45011.0,7.408,2,1
45011.0,6.048,2,1
7090.0,46.26,0,4
19120.0,2.946,0,1
19120.0,16.056,0,1
44312.0,21.744,2,1
80219.0,218.75,1,0
80219.0,2.6,1,1
75220.0,66.284,1,0
37064.0,35.168,2,1
90604.0,444.768,1,3
48601.0,83.92,2,4
48601.0,131.98,2,4
48601.0,15.92,2,1
48601.0,52.29,2,4
48601.0,91.99,2,4
75220.0,20.8,1,1
44256.0,23.68,2,1
44256.0,452.45,2,3
44256.0,62.982,2,4
44256.0,1188.0,3,2
44256.0,89.584,2,4
90032.0,93.06,1,0
90032.0,302.376,1,3
43017.0,5.584,2,1
43017.0,22.704,2,1
43017.0,19.776,2,1
43017.0,72.704,2,4
43017.0,479.988,2,3
43017.0,27.168,2,1
48227.0,2.2,2,1
48227.0,622.45,2,3
48227.0,21.98,2,1
38401.0,161.568,2,4
38401.0,389.696,2,3
28205.0,18.648,0,1
33614.0,233.86,2,3
33614.0,620.6145,2,3
33614.0,5.328,2,1
33614.0,258.072,2,3
33614.0,617.976,2,3
95051.0,10.56,1,1
60610.0,25.92,2,1
60610.0,419.68,2,3
60610.0,11.688,2,1
60610.0,31.984,2,1
60610.0,177.225,2,3
60610.0,4.044,2,1
60610.0,7.408,2,1
55044.0,2001.86,3,2
55044.0,166.72,2,3
55044.0,47.88,2,4
55044.0,1503.25,3,2
55044.0,25.92,2,1
94109.0,321.568,1,3
92037.0,7.61,1,1
92037.0,3347.37,3,2
10024.0,80.58,0,4
10024.0,361.92,0,3
60623.0,12.132,2,1
60623.0,82.368,2,4
60623.0,53.92,2,4
60623.0,647.904,2,3
10009.0,20.37,0,1
10009.0,221.55,0,3
10009.0,17.52,0,1
77506.0,1.624,1,1
77036.0,3059.982,3,2
77036.0,2519.958,3,2
60610.0,328.224,2,3
94513.0,79.9,1,0
27514.0,14.016,0,1
7960.0,7.56,0,1
45231.0,37.208,2,1
45231.0,57.576,2,4
94110.0,725.84,1,3
94109.0,209.93,1,0
94109.0,5.28,1,1
94109.0,10.92,1,1
90301.0,8.82,1,1
90301.0,5.98,1,1
19140.0,11.648,0,1
19140.0,18.176,0,1
19140.0,59.712,0,4
19140.0,24.84,0,1
77070.0,2.08,1,1
77070.0,1114.4,1,3
90004.0,1038.84,1,3
97206.0,141.76,1,0
97206.0,239.8,1,0
97206.0,31.104,1,0
33319.0,254.058,2,3
33319.0,194.528,2,3
33319.0,961.48,2,3
43229.0,19.096,2,1
43229.0,18.496,2,1
43229.0,255.984,2,3
43229.0,86.97,2,4
80906.0,300.416,1,3
80906.0,230.352,1,0
80906.0,218.352,1,0
80906.0,78.6,1,0
80906.0,27.552,1,1
7109.0,32.4,0,1
7109.0,1082.48,0,2
7109.0,56.91,0,4
7109.0,77.6,0,4
7109.0,14.28,0,1
60623.0,219.075,2,3
10024.0,26.8,0,1
48180.0,9.84,2,1
8701.0,45.48,0,4
8701.0,289.2,0,3
22204.0,4.89,0,1
80004.0,15.136,1,1
80004.0,466.768,1,3
80004.0,15.232,1,1
80004.0,6.264,1,1
7601.0,87.54,0,4
33710.0,178.384,2,4
33710.0,15.552,2,1
19143.0,99.136,0,4
10024.0,135.882,0,4
10024.0,3991.98,3,2
10024.0,275.94,0,3
10024.0,360.0,0,3
10024.0,43.57,0,4
90805.0,7.16,1,1
92345.0,251.52,1,0
92345.0,99.99,1,0
37130.0,15.992,2,1
19143.0,290.898,0,3
19143.0,54.224,0,4
19143.0,786.744,0,3
19143.0,100.24,0,4
19143.0,37.764,0,4
19134.0,82.8,0,4
19134.0,20.724,0,1
19134.0,4.896,0,1
90045.0,4.752,1,1
90045.0,959.984,1,3
90045.0,14.368,1,1
94122.0,7.712,1,1
94122.0,698.352,1,3
84041.0,4.96,1,1
19140.0,17.856,0,1
19140.0,509.97,0,3
19140.0,30.992,0,1
19140.0,71.928,0,4
78745.0,88.8,1,0
94122.0,47.976,1,0
1852.0,7.56,0,1
1852.0,24.56,0,1
1852.0,12.96,0,1
10009.0,6.79,0,1
10009.0,24.56,0,1
10009.0,3.048,0,1
10009.0,49.12,0,4
10009.0,4355.168,3,2
10035.0,388.704,0,3
10035.0,8.26,0,1
10035.0,17.04,0,1
10035.0,34.4,0,4
28205.0,36.24,0,4
31907.0,647.84,2,3
31907.0,20.7,2,1
10009.0,20.7,0,1
10009.0,488.646,0,3
10009.0,5.56,0,1
10009.0,47.12,0,4
94109.0,211.96,1,0
6040.0,23.2,0,1
6040.0,7.36,0,1
6040.0,104.79,0,4
6040.0,1043.92,0,3
78550.0,25.92,1,1
78550.0,53.424,1,0
85705.0,8.16,1,1
85705.0,1023.936,1,3
85705.0,9.24,1,1
85705.0,479.04,1,3
62301.0,99.136,2,4
2038.0,1488.424,3,2
77095.0,8.652,1,1
77095.0,23.832,1,1
77095.0,12.176,1,1
94109.0,50.96,1,0
94109.0,49.536,1,0
48180.0,41.9,2,4
33024.0,375.4575,2,3
33024.0,83.976,2,4
19140.0,482.34,0,3
19140.0,2.96,0,1
45231.0,2.624,2,1
10009.0,23.36,0,1
10009.0,39.98,0,4
98198.0,246.384,1,0
98198.0,1799.97,3,2
61604.0,12.462,2,1
89115.0,75.792,1,0
2886.0,49.96,0,4
2886.0,12.96,0,1
49201.0,70.12,2,4
77036.0,35.952,1,1
77036.0,2396.2656,3,2
77036.0,131.136,1,0
77036.0,57.584,1,0
33180.0,9.568,2,1
28403.0,39.072,0,4
10024.0,35.91,0,4
94110.0,179.95,1,0
94110.0,1199.976,1,2
94110.0,27.15,1,0
94110.0,1004.024,1,3
94110.0,9.68,1,1
94110.0,28.35,1,0
94110.0,55.98,1,0
94110.0,1336.829,3,2
94110.0,113.568,1,0
98105.0,139.86,1,0
98105.0,307.136,1,3
92646.0,95.92,1,0
90004.0,383.8,1,3
40475.0,5.78,2,1
90045.0,9.32,1,1
90045.0,15.25,1,1
80027.0,196.752,1,0
1841.0,56.56,0,4
1841.0,32.7,0,1
39212.0,866.4,2,3
48187.0,28.4,2,1
48187.0,287.92,2,3
10801.0,69.99,0,4
78207.0,6.672,1,1
28052.0,189.588,0,3
28052.0,408.744,0,3
28052.0,291.96,0,3
28052.0,4.768,0,1
1852.0,714.3,0,3
32216.0,4.812,2,1
32216.0,247.8,2,3
60623.0,1007.979,2,3
60623.0,313.488,2,3
77070.0,31.872,1,1
10024.0,207.846,0,3
48227.0,12.22,2,1
48227.0,194.94,2,3
48227.0,70.95,2,4
48227.0,91.36,2,4
48227.0,242.94,2,3
48227.0,22.05,2,1
47201.0,2.91,2,1
13021.0,59.52,0,4
13021.0,161.94,0,4
13021.0,263.88,0,3
13021.0,30.48,0,1
13021.0,9.84,0,1
13021.0,35.12,0,4
44312.0,284.364,2,3
44312.0,665.408,2,3
73071.0,63.88,1,0
94521.0,129.568,1,0
62521.0,747.558,2,3
62521.0,8.928,2,1
98115.0,103.92,1,0
98115.0,899.91,1,3
98115.0,51.312,1,0
85023.0,23.56,1,1
85023.0,1272.63,3,2
85023.0,28.485,1,1
85023.0,185.376,1,0
85023.0,78.272,1,0
60068.0,254.744,2,3
79109.0,205.3328,1,0
60610.0,4.788,2,1
11757.0,55.48,0,4
94110.0,340.92,1,3
94110.0,222.666,1,0
94110.0,703.968,1,3
94110.0,92.52,1,0
94110.0,62.65,1,0
94110.0,94.85,1,0
90008.0,95.76,1,0
12180.0,40.2,0,4
10024.0,14.7,0,1
10024.0,704.25,0,3
92024.0,9.09,1,1
10024.0,5.96,0,1
10024.0,159.98,0,4
90045.0,29.6,1,0
90045.0,514.165,1,3
90045.0,279.96,1,3
60610.0,2735.952,3,2
77340.0,7.992,1,1
77340.0,63.984,1,0
77340.0,70.368,1,0
14609.0,449.15,0,3
14609.0,11.07,0,1
98115.0,93.98,1,0
38109.0,189.882,2,3
72701.0,105.42,1,0
92627.0,119.616,1,0
92627.0,255.76,1,0
92627.0,241.568,1,0
92627.0,69.3,1,0
80134.0,22.62,1,1
80134.0,14.952,1,1
80134.0,801.568,1,3
80134.0,2.376,1,1
80134.0,32.792,1,1
10024.0,15.92,0,1
30318.0,2.74,0,1
30318.0,8.34,0,1
30318.0,46.74,0,4
30318.0,6354.95,3,2
64118.0,126.3,2,3
64118.0,38.04,2,1
43055.0,7.152,2,1
90049.0,6.63,1,1
90049.0,5.88,1,1
59405.0,2999.95,3,2
59405.0,51.45,2,4
59405.0,11.96,2,1
59405.0,1126.02,2,2
77041.0,18.392,1,1
77041.0,129.568,1,0
77041.0,14.112,1,1
48234.0,210.98,2,3
90032.0,55.176,1,0
90032.0,66.26,1,0
1841.0,22.2,0,1
33801.0,683.952,2,3
33801.0,45.696,2,4
19134.0,36.336,0,4
19134.0,666.248,0,3
19134.0,52.512,0,4
90036.0,190.72,1,0
90032.0,47.94,1,0
36116.0,979.95,2,3
36116.0,22.75,2,1
85204.0,16.768,1,1
60653.0,42.616,2,1
10009.0,10.752,0,1
42420.0,152.94,2,4
42420.0,283.92,2,3
54302.0,468.9,2,3
85705.0,380.864,1,3
45503.0,646.776,2,3
76106.0,58.112,1,0
76106.0,100.792,1,0
76106.0,66.112,1,0
10035.0,41.28,0,4
10035.0,13.36,0,1
60653.0,250.272,2,3
60653.0,11.364,2,1
60653.0,8.72,2,1
94110.0,1121.568,1,3
32216.0,34.504,2,1
77070.0,10.824,1,1
92804.0,1295.78,1,2
28403.0,19.456,0,1
90045.0,20.7,1,1
90045.0,1335.68,3,2
90045.0,32.4,1,0
94110.0,42.6,1,0
94110.0,84.056,1,0
33614.0,13.0,2,1
33614.0,13.128,2,1
98105.0,3.96,1,1
98105.0,2.61,1,1
90008.0,374.376,1,3
98105.0,91.84,1,0
98105.0,81.088,1,0
98105.0,19.44,1,1
98105.0,451.152,1,3
10024.0,72.45,0,4
10024.0,13.96,0,1
10024.0,33.264,0,4
10024.0,14.85,0,1
98270.0,8.82,1,1
90805.0,160.72,1,0
90805.0,19.92,1,1
90805.0,7.3,1,1
60610.0,69.712,2,4
60610.0,8.792,2,1
90004.0,51.52,1,0
